"XXX: (Jon Skeet) The comment ""if it hasn't been done already"" may";Task.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant;188;Technical Debt
XXX: (Jon Skeet) Any reason for writing a message and then using a bare;Main.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant;772;Technical Debt
XXX should instead make a new ProtectionDomain with a CodeSource;AntClassLoader.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant;1127;Technical Debt
XXX - shouldn't this always return false in isolated mode?;AntClassLoader.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant;851;Technical Debt
Version to use for addXXX and addConfiguredXXX;IntrospectionHelper.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant;1279;Technical Debt
TODO- this check could be modified to go if pos>prev-;PropertyHelper.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant;581;Technical Debt
There is a better way to save the Context. This shouldn't;PropertyHelper.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant;474;Technical Debt
Temporary - until we figure a better API;ProjectHelper.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant;116;Technical Debt
targets to work. *very* Ugly;UnknownElement.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant;180;Technical Debt
Our current message output status. Follows Project.MSG_XXX.;Main.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant;56;Technical Debt
"ISSUES:  - ns param. It could be used to provide ""namespaces"" for properties- which  may be more flexible.  - Object value. In ant1.5 String is used for Properties - but it would be nice  to support generic Objects (the property remains immutable - you can't change  the associated object). This will also allow JSP-EL style setting using the  Object if an attribute contains only the property (name=""${property}"" could  avoid Object->String->Object conversion)  - Currently we ""chain"" only for get and set property (probably most users  will only need that - if they need more they can replace the top helper).  Need to discuss this and find if we need more.";PropertyHelper.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant;26-37;Technical Debt
information to make a better decision later.;PathTokenizer.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant;66;Technical Debt
deprecated- it is possible to use a better (more efficient);PropertyHelper.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant;464;Technical Debt
better have too much info than not enough.;XmlLogger.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant;159;Technical Debt
***HACK*** We ask the VM to create an instance;AntClassLoader.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant;583;Technical Debt
XXX task.setTaskType(tag)-;ProjectHelperImpl.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/helper;742;Technical Debt
XXX Move to Project ( so it is shared by all helpers );ProjectHelper2.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/helper;727;Technical Debt
XXX ignore attributes in a different NS ( maybe store them ? );ProjectHelper2.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/helper;721;Technical Debt
XXX I really don't like this - the XML processor is still              * too 'involved' in the processing. A better solution (IMO)              * would be to create UE for Project and Target too- and              * then process the tree and have Project/Target deal with              * its attributes ( similar with Description ).              *              * If we eventually switch to ( or add support for ) DOM-              * things will work smoothly - UE can be avoided almost completely              * ( it could still be created on demand- for backward compatibility );ProjectHelper2.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/helper;673-682;Technical Debt
take care of dependencies;ProjectHelperImpl.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/helper;577;Technical Debt
PR: Hack for ant-type value;ProjectHelper2.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/helper;1035;Technical Debt
XXX: we should use JCVS (www.ice.com/JCVS) instead of;AbstractCvsTask.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs;258;Technical Debt
XXX what is the following doing?;Javadoc.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs;2028;Technical Debt
XXX maybe use reflection to addPathElement (other patterns ?);Classloader.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs;180;Technical Debt
XXX is the following really necessary? it is in the same thread group...;ExecuteJava.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs;157;Technical Debt
XXX could perhaps also call thread.stop()- not sure if anyone cares;ExecuteJava.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs;191;Technical Debt
XXX add exceptions;Classloader.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs;235;Technical Debt
XXX - we are committing CombiningChar and Extender here;AntStructure.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs;422;Technical Debt
XXX - log an error?  throw an exception?;Jar.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs;308;Technical Debt
XXX;JikesOutputParser.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs;124;Technical Debt
will take care of it.;Zip.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs;1194;Technical Debt
unless they appear after what could be an informational message.;Javadoc.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs;2332;Technical Debt
TODO: nothing appears to read this but is set using a public setter.;Execute.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs;67;Technical Debt
TODO: I have no idea how to get it- someone must fix it;Execute.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs;246;Technical Debt
TODO: allow user to request the system or no parent;Classloader.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs;198;Technical Debt
TODO:;JikesOutputParser.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs;127;Technical Debt
TODO not read- yet in a public setter;CopyPath.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs;62;Technical Debt
only resource collections- there better be some;XSLTProcess.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs;365;Technical Debt
No match- so bail out!;ManifestClassPath.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs;116;Technical Debt
be much better.;JikesOutputParser.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs;130;Technical Debt
after execution finished- which is much better for long-lived runtimes;ExecuteJava.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs;320;Technical Debt
* The enumeration of units:      * millisecond- second- minute- hour- day- week      * @todo we use timestamps in many places- why not factor this out;WaitFor.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs;175-179;Technical Debt
* Set the number of milliseconds leeway to give before deciding a      * target is out of date.      * TODO: This is not yet used.      * @param granularity the granularity used to decide if a target is out of      *                    date.;CopyPath.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs;119-125;Technical Debt
* Run the task.      * @throws BuildException The exception raised during task execution.      * @todo validate the source file is valid before opening- print a better error message      * @todo add a verbose level log message listing the name of the file being loaded;XmlProperty.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs;224-229;Technical Debt
* Indicates the size of key generated.      *      * @param keysize size of key      * @throws BuildException If not an Integer      * @todo Could convert this to a plain Integer setter.;GenerateKey.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs;279-285;Technical Debt
"* Generates Javadoc documentation for a collection  * of source code.  *  * <p>Current known limitations are:  *  * <p><ul>  *    <li>patterns must be of the form ""xxx.*""- every other pattern doesn't  *        work.  *    <li>there is no control on arguments sanity since they are left  *        to the Javadoc implementation.  * </ul>  *  * <p>If no <code>doclet</code> is set- then the <code>version</code> and  * <code>author</code> are by default <code>""yes""</code>.  *  * <p>Note: This task is run on another VM because the Javadoc code calls  * <code>System.exit()</code> which would break Ant functionality.  *  * @since Ant 1.1  *  * @ant.task category=""java""";Javadoc.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs;53-75;Technical Debt
* Executes the task.      *      * @exception BuildException if there is an execution problem.      * @todo validate that if either in or our is defined- then both are;XSLTProcess.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs;259-264;Technical Debt
"* Chmod equivalent for unix-like environments.  *  * @since Ant 1.1  *  * @ant.task category=""filesystem""  * @todo Refactor so it does not extend from ExecuteOn and then turn around  *       and unsupport several attributes.";Chmod.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs;30-38;Technical Debt
* @TODO using taskName here is brittle- as a user could override it.;ExecuteOn.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs;298;Technical Debt
but on java>=1.4 we just bail out early;CompilerAdapterFactory.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/compilers;93;Technical Debt
FIXME formatters are not thread-safe;ChangeLogParser.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/cvslib;40;Technical Debt
"Assuming mime type in form ""text/XXXX- charset=XXXXXX""";MimeMailer.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/email;267;Technical Debt
XXX JDK 1.1 doesn't have File.getParentFile-;Native2Ascii.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional;253;Technical Debt
TODO: use ANTLR to parse the grammar file to do this.;ANTLR.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional;283;Technical Debt
todo: is this comment still relevant ??;TraXLiaison.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional;220;Technical Debt
todo: is this comment still relevant ??;TraXLiaison.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional;246;Technical Debt
The line below is a hack: the system id must an URI- but it is not;TraXLiaison.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional;266;Technical Debt
should be the default- as it integrates better in ant.;NetRexxC.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional;97;Technical Debt
FIXME: need to use a SAXSource as the source for the transform;TraXLiaison.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional;221;Technical Debt
FIXME: need to use a SAXSource as the source for the transform;TraXLiaison.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional;247;Technical Debt
* To the bootstrap path- this adds a reference to a classpath defined elsewhere.      * @param r a reference to a classpath      * @todo this needs to be documented in the HTML.;Javah.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional;241-245;Technical Debt
* Check if parameter combinations can be supported          * @todo make sure the 'unit' attribute is only specified on date          *      fields;PropertyFile.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional;484-488;Technical Debt
* Borrowed from Tstamp      * @todo share all this time stuff across many tasks as a datetime datatype      * @since Ant 1.5;PropertyFile.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional;616-620;Technical Debt
* Adds a reference to a classpath defined elsewhere.      * @param r a reference to a classpath.      * @todo this needs to be documented in the HTML docs.;Javah.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional;200-204;Technical Debt
* TODO:  * comment field doesn't include all options yet;CCLock.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/clearcase;27-30;Technical Debt
* TODO:  * comment field doesn't include all options yet;CCUnlock.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/clearcase;26-29;Technical Debt
bail out early if there were no files;DotnetCompile.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/dotnet;913;Technical Debt
* scan through one fileset for files to include      * @param scanner the directory scanner to use.      * @param filesToBuild the map to place the files.      * @param outputTimestamp timestamp to compare against      * @return #of files out of date      * @todo should FAT granularity be included here?;NetCommand.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/dotnet;374-381;Technical Debt
work around a bug of GenIC 2.5;JonasDeploymentTool.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/ejb;554;Technical Debt
run with no exit for better reporting;EjbcHelper.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/ejb;254;Technical Debt
* If true- the Java source files which are generated by the      * ejbc process are retained.      *      * @param retainSource A boolean indicating if the Java source files for      *                     the stubs and skeletons should be retained.      * @todo This is not documented in the HTML. On purpose?;IPlanetEjbc.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/ejb;159-166;Technical Debt
"* Constructs an instance which may be used to process EJB descriptors and      * generate EJB stubs and skeletons- if needed.      *      * @param stdDescriptor File referencing a standard EJB descriptor.      * @param iasDescriptor File referencing an iAS-specific EJB descriptor.      * @param destDirectory File referencing the base directory where both      *                      EJB ""source"" files are found and where stubs and      *                      skeletons will be written.      * @param classpath     String representation of the classpath to be used      *                      by the iAS ejbc utility.      * @param parser        SAXParser to be used to process both of the EJB      *                      descriptors.      * @todo classpathElements is not needed here- its never used      *       (at least IDEA tells me so! :)";IPlanetEjbc.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/ejb;116-131;Technical Debt
* Simple holder for extra attributes in main section of manifest.  *  * @todo Refactor this and all the other parameter- sysproperty-  *   property etc into a single class in framework;ExtraAttribute.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/extension;22-27;Technical Debt
whole build. IMHO this method should be avoided and it would be best;JDependTask.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jdepend;438;Technical Debt
This is the new- better way - use classespath instead;JDependTask.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jdepend;474;Technical Debt
XXX  this array stuff is a remnant of prev trials.. gotta remove.;WLJspc.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jsp;149;Technical Debt
XXX;WLJspc.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jsp;169;Technical Debt
XXX;WLJspc.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jsp;269;Technical Debt
TODO: Parameterise ??;WLJspc.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jsp;154;Technical Debt
TODO Test on Unix;WLJspc.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jsp;83;Technical Debt
TODO Test on other versions of weblogic;WLJspc.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jsp;81;Technical Debt
TODO add more attributes to the task- to take care of all jspc options;WLJspc.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jsp;82;Technical Debt
to weblogic standards Can be written better... this is too hacky!;WLJspc.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jsp;271;Technical Debt
if we are a webapp- hand off to the compiler- which had better handle it;JspC.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jsp;444;Technical Debt
Fix for invalid characters. If you think of more add to the list.;JspNameMangler.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jsp;83;Technical Debt
Can be written better... this is too hacky!;WLJspc.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jsp;171;Technical Debt
* taking in the substring representing the path relative to the source dir      * return a new string representing the destination path      * @param path not used.      * @return null as this is not implemented.      * @todo;Jasper41Mangler.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jsp;81-87;Technical Debt
* get a filename from our jsp file.      * @param mangler the jsp filename managler.      * @param srcFile the source file.      * @param srcDir  the source directory.      * @param dest    the destination directory.      * @return the filename.      * @todo support packages and subdirs;JspC.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jsp;626-634;Technical Debt
whole build. IMHO this method should be avoided and it would be best;JUnitTask.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/junit;1172;Technical Debt
the original test name with a little hack.;JUnitVersionHelper.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/junit;109;Technical Debt
* Create a new document builder. Will issue an <tt>ExceptionInitializerError</tt>      * if something is going wrong. It is fatal anyway.      * @todo factorize this somewhere else. It is duplicated code.      * @return a new document builder to create a DOM;XMLResultAggregator.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/junit;314-319;Technical Debt
@todo this is duplicating TestResult information. Only the time is not;JUnitTest.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/junit;46;Technical Debt
@todo should be moved to the test class instead.;JUnitTask.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/junit;802;Technical Debt
XXX - why not simply new File(dir- filename)?;FTP.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/net;1967;Technical Debt
ToDo: If dealing with default cl need to parse out <enter description here>;P4Submit.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/perforce;44;Technical Debt
"Synchronize client space to a Perforce depot view.  *  *  The API allows additional functionality of the ""p4 sync"" command  * (such as ""p4 sync -f //...#have"" or other exotic invocations).</P>  *  * <b>Example Usage:</b>  * <table border=""1"">  * <th>Function</th><th>Command</th>  * <tr><td>Sync to head using P4USER- P4PORT and P4CLIENT settings specified</td>  * <td>&lt-P4Sync <br>P4view=""//projects/foo/main/source/..."" <br>  * P4User=""fbloggs"" <br>P4Port=""km01:1666"" <br>P4Client=""fbloggsclient"" /&gt-</td></tr>  * <tr><td>Sync to head using P4USER- P4PORT and P4CLIENT settings defined in environment</td>  * <td>&lt-P4Sync P4view=""//projects/foo/main/source/..."" /&gt-</td></tr>  * <tr><td>Force a re-sync to head- refreshing all files</td>  * <td>&lt-P4Sync force=""yes"" P4view=""//projects/foo/main/source/..."" /&gt-</td></tr>  * <tr><td>Sync to a label</td><td>&lt-P4Sync label=""myPerforceLabel"" /&gt-</td></tr>  * </table>  *  * @todo Add decent label error handling for non-exsitant labels  *  * @ant.task category=""scm""";P4Sync.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/perforce;29-50;Technical Debt
"Checkout files for deletion.  *  * Example Usage:<br>  * &lt-p4delete change=""${p4.change}"" view=""//depot/project/foo.txt"" /&gt-<br>  *  * Simple re-write of P4Edit changing 'edit' to 'delete'.<br>  *  * @todo What to do if file is already open in one of our changelists perhaps  * (See also {@link P4Edit P4Edit})?<br>  *  * @ant.task category=""scm""";P4Delete.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/perforce;22-33;Technical Debt
* Specifies the value of the force argument- optional.      * If set to <i>yes</i> all files that exists and are      * writable are overwritten. Default <i>no</i> causes the files      * that are writable to be ignored. This stops the PVCS command      * <i>get</i> to stop asking questions!      * @todo make a boolean setter      * @param f String (yes/no);Pvcs.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/pvcs;519-527;Technical Debt
This is ugly- checking for the root folder.;AntStarTeamCheckOut.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/scm;324;Technical Debt
Check it out- also ugly.;AntStarTeamCheckOut.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/scm;561;Technical Debt
why do we do nothing?;SSHUserInfo.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/ssh;184;Technical Debt
this is one ugly API from Starteam SDK;StarTeamCheckout.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/starteam;375;Technical Debt
* Returns the local path without the flag.- required      * @todo See why this returns the local path without the flag.      * @return The local path value.;MSVSSADD.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/vss;69-73;Technical Debt
XXX is this code still necessary? is there any 1.2+ port?;Path.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/types;587;Technical Debt
silly hack to avoid stack overflow...;FilterSet.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/types;221;Technical Debt
* Set the type of arc.      * @param strType the type to use - open- pie or chord.      * @todo refactor using an EnumeratedAttribute;Arc.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/types/optional/image;70-74;Technical Debt
* Convert a color name to a color value.      * @param colorName a string repr of the color.      * @return the color value.      * @todo refactor to use an EnumeratedAttribute (maybe?);ColorMapper.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/types/optional/image;65-70;Technical Debt
* @todo is this used?      * @param state not used at the moment.;Text.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/types/optional/image;74-77;Technical Debt
* @todo is this used?      * @param state not used at the moment.;Text.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/types/optional/image;82-85;Technical Debt
TODO there is a problem with the constructor for the RBC.;ModifiedSelector.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/types/selectors/modifiedselector;359;Technical Debt
XXX Unfortunately JDK1.2 adds entrySet()- keySet()- values() -;LazyHashtable.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/util;118;Technical Debt
XXX - should throw an exception instead?;RegexpPatternMapper.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/util;140;Technical Debt
workaround for Java 1.2-1.3;FileUtils.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/util;1458;Technical Debt
TODO no methods yet for getClassname;ClasspathUtils.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/util;496;Technical Debt
TODO no method for newInstance using a reverse-classloader;ClasspathUtils.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/util;497;Technical Debt
implementing this requires a small hack- we can add it later.;LazyHashtable.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/util;119;Technical Debt
"FIXME: Is ""No Namespace is Empty Namespace"" really OK?";DOMElementWriter.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/util;572;Technical Debt
XXX - should throw an exception instead?;JakartaOroRegexp.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/util/regexp;64;Technical Debt
XXX - should throw an exception instead?;JakartaRegexpRegexp.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/util/regexp;76;Technical Debt
XXX - should throw an exception instead?;Jdk14RegexpRegexp.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/util/regexp;77;Technical Debt
XXX     should we silently catch possible exceptions and try to;RegexpFactory.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/util/regexp;62;Technical Debt
XXX     should we silently catch possible exceptions and try to;RegexpMatcherFactory.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/util/regexp;70;Technical Debt
* This array really shouldn't be here.      * Again- for historical purposes it is.      *      * <p>FIXME: This array should be in a private or package private      * location- since it could be modified by malicious code.</p>;BZip2Constants.java;ApacheAnt-1.7.0/src/main/org/apache/tools/bzip2;48-54;Technical Debt
"REVIEW Would a better check be ""(File.separator == '\')""?";TarEntry.java;ApacheAnt-1.7.0/src/main/org/apache/tools/tar;211;Technical Debt
FIXME this is actually not very cpu cycles friendly as we are converting from;ZipFile.java;ApacheAnt-1.7.0/src/main/org/apache/tools/zip;284;Technical Debt
XXX what is this for?;InputTest.java;ApacheAnt-1.7.0/src/tests/junit/org/apache/tools/ant/taskdefs;103;Technical Debt
thus test fails.  No workaround?;ExecuteJavaTest.java;ApacheAnt-1.7.0/src/tests/junit/org/apache/tools/ant/taskdefs;102;Technical Debt
* TODO : develop these testcases - the email task needs to have attributes allowing  * to simulate sending mail and to catch the output in text files or streams;EmailTaskTest.java;ApacheAnt-1.7.0/src/tests/junit/org/apache/tools/ant/taskdefs/email;23-26;Technical Debt
@fixme as of now does not report the original stacktrace.;JUnitTestRunnerTest.java;ApacheAnt-1.7.0/src/tests/junit/org/apache/tools/ant/taskdefs/optional/junit;85;Technical Debt
Try a silly case;GlobPatternMapperTest.java;ApacheAnt-1.7.0/src/tests/junit/org/apache/tools/ant/util;54;Technical Debt
Try a silly case;GlobPatternMapperTest.java;ApacheAnt-1.7.0/src/tests/junit/org/apache/tools/ant/util;70;Technical Debt
