841;Complete the task associated to this TODO comment.;jedit-4.2/src/bsh/BSHArrayInitializer.java;BSHArrayInitializer.java;97;20;INFO;
683;This block of commented-out lines of code should be removed.;jedit-4.2/src/bsh/BSHArrayInitializer.java;BSHArrayInitializer.java;108;60;MAJOR;
819;Move this closing curly brace to the next line.;jedit-4.2/src/bsh/BSHArrayInitializer.java;BSHArrayInitializer.java;41;1;MAJOR;
738;Refactor this code to not nest more than 3 if/for/while/switch/try statements.;jedit-4.2/src/bsh/BSHArrayInitializer.java;BSHArrayInitializer.java;114;20;MINOR;
819;Move this closing curly brace to the next line.;jedit-4.2/src/bsh/BSHLiteral.java;BSHLiteral.java;41;1;MAJOR;
734;"The Cyclomatic Complexity of this method ""eval"" is 12 which is greater than 10 authorized.";jedit-4.2/src/bsh/BSHArrayInitializer.java;BSHArrayInitializer.java;57;10;MAJOR;
823;Replace all tab characters in this file by sequences of white-spaces.;jedit-4.2/src/bsh/BSHArrayInitializer.java;BSHArrayInitializer.java;N;2;MINOR;
823;Replace all tab characters in this file by sequences of white-spaces.;jedit-4.2/src/bsh/BSHAssignment.java;BSHAssignment.java;N;2;MINOR;
727;Either log or rethrow this exception.;jedit-4.2/src/bsh/BSHAssignment.java;BSHAssignment.java;65;10;MAJOR;
683;This block of commented-out lines of code should be removed.;jedit-4.2/src/bsh/BSHAssignment.java;BSHAssignment.java;60;60;MAJOR;
734;"The Cyclomatic Complexity of this method ""eval"" is 42 which is greater than 10 authorized.";jedit-4.2/src/bsh/BSHAssignment.java;BSHAssignment.java;43;10;MAJOR;
734;"The Cyclomatic Complexity of this method ""operation"" is 24 which is greater than 10 authorized.";jedit-4.2/src/bsh/BSHAssignment.java;BSHAssignment.java;147;10;MAJOR;
683;This block of commented-out lines of code should be removed.;jedit-4.2/src/bsh/BSHAssignment.java;BSHAssignment.java;151;60;MAJOR;
727;Either log or rethrow this exception.;jedit-4.2/src/bsh/BSHAssignment.java;BSHAssignment.java;142;10;MAJOR;
683;This block of commented-out lines of code should be removed.;jedit-4.2/src/bsh/BSHAssignment.java;BSHAssignment.java;73;60;MAJOR;
819;Move this closing curly brace to the next line.;jedit-4.2/src/bsh/BSHAssignment.java;BSHAssignment.java;41;1;MAJOR;
673;Make operator a static final constant or non-public and provide accessors if needed.;jedit-4.2/src/bsh/BSHAssignment.java;BSHAssignment.java;39;10;MAJOR;
760;Reduce the number of conditional operators (7) used in the expression (maximum allowed 3).;jedit-4.2/src/bsh/BSHAssignment.java;BSHAssignment.java;173;10;MAJOR;
787;"Remove the literal ""false"" boolean value.";jedit-4.2/src/bsh/BSHBinaryExpression.java;BSHBinaryExpression.java;100;10;MINOR;
683;This block of commented-out lines of code should be removed.;jedit-4.2/src/bsh/BSHBinaryExpression.java;BSHBinaryExpression.java;146;60;MAJOR;
727;Either log or rethrow this exception.;jedit-4.2/src/bsh/BSHBinaryExpression.java;BSHBinaryExpression.java;140;10;MAJOR;
673;Make kind a static final constant or non-public and provide accessors if needed.;jedit-4.2/src/bsh/BSHBinaryExpression.java;BSHBinaryExpression.java;45;10;MAJOR;
790;Remove those useless parentheses.;jedit-4.2/src/bsh/BSHBinaryExpression.java;BSHBinaryExpression.java;185;1;MAJOR;
734;"The Cyclomatic Complexity of this method ""eval"" is 48 which is greater than 10 authorized.";jedit-4.2/src/bsh/BSHBinaryExpression.java;BSHBinaryExpression.java;49;10;MAJOR;
736;Reduce this switch case number of lines from 6 to at most 5, for example by extracting code into methods.;jedit-4.2/src/bsh/BSHBinaryExpression.java;BSHBinaryExpression.java;190;10;MAJOR;
790;Remove those useless parentheses.;jedit-4.2/src/bsh/BSHBinaryExpression.java;BSHBinaryExpression.java;224;1;MAJOR;
819;Move this closing curly brace to the next line.;jedit-4.2/src/bsh/BSHBinaryExpression.java;BSHBinaryExpression.java;47;1;MAJOR;
790;Remove those useless parentheses.;jedit-4.2/src/bsh/BSHBinaryExpression.java;BSHBinaryExpression.java;131;1;MAJOR;
736;Reduce this switch case number of lines from 13 to at most 5, for example by extracting code into methods.;jedit-4.2/src/bsh/BSHBinaryExpression.java;BSHBinaryExpression.java;196;10;MAJOR;
683;This block of commented-out lines of code should be removed.;jedit-4.2/src/bsh/BSHBinaryExpression.java;BSHBinaryExpression.java;67;60;MAJOR;
