SATD;Path;Line;Priority
TODO: shift block down to bottom;source/org/jfree/chart/block/FlowArrangement.java;388;0.0
TODO: shift block over to right;source/org/jfree/chart/block/ColumnArrangement.java;334;0.0
TODO: shift block right by half;source/org/jfree/chart/block/ColumnArrangement.java;330;0.0
TODO: we didn't check the height yet;source/org/jfree/chart/block/CenterArrangement.java;216;0.0
TODO: we didn't check the height yet;source/org/jfree/chart/block/FlowArrangement.java;287;0.0
TODO: we didn't check the width yet;source/org/jfree/chart/block/ColumnArrangement.java;258;0.0
TODO:  add constructors for combinations of number and date formatters.;source/org/jfree/chart/labels/StandardXYZToolTipGenerator.java;139;0.0
TODO: implement this method properly;source/org/jfree/chart/labels/HighLowItemLabelGenerator.java;177;0.0
TODO: implement this method properly;source/org/jfree/chart/labels/SymbolicXYItemLabelGenerator.java;122;0.0
given criteria to 'appear' move important than the;source/org/jfree/chart/plot/SpiderWebPlot.java;1144;0.0
private Plot parent <-- don't clone the parent plot- but take care;source/org/jfree/chart/plot/Plot.java;1081;0.0
TODO:  move the above to the plot state;source/org/jfree/chart/plot/CombinedDomainCategoryPlot.java;103;0.0
TODO:  the subplot areas needs to be moved out of the plot into the plot;source/org/jfree/chart/plot/CombinedDomainXYPlot.java;132;0.0
TODO: don't allow null for index = 0;source/org/jfree/chart/plot/CategoryPlot.java;937;0.0
TODO: fix output when this flag is set to true;source/org/jfree/chart/plot/MeterPlot.java;599;0.0
TODO: get the axis that the renderer maps to;source/org/jfree/chart/plot/XYPlot.java;2881;0.0
TODO: handle argument checking for primary axis location which;source/org/jfree/chart/plot/CategoryPlot.java;703;0.0
TODO: move to plot state;source/org/jfree/chart/plot/CombinedRangeCategoryPlot.java;104;0.0
TODO: need to fetch this from localised resources;source/org/jfree/chart/plot/MultiplePiePlot.java;314;0.0
TODO: to be implemented;source/org/jfree/chart/plot/ContourPlot.java;1821;0.0
TODO: to be implemented;source/org/jfree/chart/plot/ContourPlot.java;1834;0.0
TODO: to be implemented;source/org/jfree/chart/plot/ContourPlot.java;1845;0.0
TODO: to be implemented;source/org/jfree/chart/plot/ContourPlot.java;1858;0.0
TODO: to be implemented.;source/org/jfree/chart/plot/ThermometerPlot.java;1455;0.0
TODO:  this attribute should be transferred to the renderer state.;source/org/jfree/chart/renderer/category/BarRenderer.java;413;0.0
TODO:  this attribute should be transferred to the renderer state.;source/org/jfree/chart/renderer/category/BarRenderer.java;424;0.0
TODO:  this needs to move into the renderer state;source/org/jfree/chart/renderer/category/BarRenderer.java;168;0.0
TODO:  this needs to move into the renderer state;source/org/jfree/chart/renderer/category/BarRenderer.java;172;0.0
TODO: draw the interval marker with a 3D effect;source/org/jfree/chart/renderer/category/BarRenderer3D.java;559;0.0
TODO: check threshold;source/org/jfree/chart/renderer/xy/StandardXYItemRenderer.java;752;0.0
TODO: need to change the next line to take account of plot;source/org/jfree/chart/renderer/xy/AbstractXYItemRenderer.java;738;0.0
TODO: need to change the next line to take account of the plot;source/org/jfree/chart/renderer/xy/AbstractXYItemRenderer.java;771;0.0
TODO: modify this so that we check for equality with any KeyedValue;source/org/jfree/data/DefaultKeyedValue.java;122;0.0
TODO: the following checks for null should be handled in a utility;source/org/jfree/data/DefaultKeyedValue.java;126;0.0
TODO: is this a good idea?;source/org/jfree/data/jdbc/JDBCXYDataset.java;407;0.0
TODO: is this a good idea?;source/org/jfree/data/jdbc/JDBCXYDataset.java;415;0.0
"* Returns a string representing the week (e.g. ""Week 9- 2002"").      *      * TODO: look at internationalisation.      *      * @return A string representing the week.";source/org/jfree/data/time/Week.java;396-402;0.0
TODO: look at internationalisation.;source/org/jfree/data/time/Week.java;399;0.0
I know it's bad to create object. better idea?;source/org/jfree/data/xy/MatrixSeriesCollection.java;160;0.0
I know it's bad to create object. better idea?;source/org/jfree/data/xy/MatrixSeriesCollection.java;179;0.0
TODO: by coding the event with some information about what changed;source/org/jfree/data/xy/IntervalXYDelegate.java;385;0.0
XXX;source/org/jfree/data/xy/XYSeriesCollection.java;332;0.0
TODO Auto-generated method stub;swt/org/jfree/experimental/chart/swt/ChartComposite.java;1490;0.0
TODO private boolean fillZoomRectangle = false-;swt/org/jfree/experimental/chart/swt/ChartComposite.java;249;0.0
TODO private boolean horizontalAxisTrace = true-;swt/org/jfree/experimental/chart/swt/ChartComposite.java;255;0.0
TODO private boolean verticalAxisTrace = true-;swt/org/jfree/experimental/chart/swt/ChartComposite.java;258;0.0
TODO Auto-generated method stub;swt/org/jfree/experimental/swt/SWTGraphics2D.java;205;0.0
TODO Auto-generated method stub;swt/org/jfree/experimental/swt/SWTGraphics2D.java;238;0.0
TODO Auto-generated method stub;swt/org/jfree/experimental/swt/SWTGraphics2D.java;247;0.0
TODO Auto-generated method stub;swt/org/jfree/experimental/swt/SWTGraphics2D.java;276;0.0
TODO Auto-generated method stub;swt/org/jfree/experimental/swt/SWTGraphics2D.java;286;0.0
TODO Auto-generated method stub;swt/org/jfree/experimental/swt/SWTGraphics2D.java;308;0.0
TODO Auto-generated method stub;swt/org/jfree/experimental/swt/SWTGraphics2D.java;316;0.0
TODO Auto-generated method stub;swt/org/jfree/experimental/swt/SWTGraphics2D.java;324;0.0
TODO Auto-generated method stub;swt/org/jfree/experimental/swt/SWTGraphics2D.java;400;0.0
TODO Auto-generated method stub;swt/org/jfree/experimental/swt/SWTGraphics2D.java;408;0.0
TODO Auto-generated method stub;swt/org/jfree/experimental/swt/SWTGraphics2D.java;416;0.0
TODO Auto-generated method stub;swt/org/jfree/experimental/swt/SWTGraphics2D.java;424;0.0
TODO Auto-generated method stub;swt/org/jfree/experimental/swt/SWTGraphics2D.java;432;0.0
TODO Auto-generated method stub;swt/org/jfree/experimental/swt/SWTGraphics2D.java;469;0.0
TODO Auto-generated method stub;swt/org/jfree/experimental/swt/SWTGraphics2D.java;535;0.0
TODO Auto-generated method stub;swt/org/jfree/experimental/swt/SWTGraphics2D.java;585;0.0
TODO Auto-generated method stub;swt/org/jfree/experimental/swt/SWTGraphics2D.java;593;0.0
